hfq_hcd_1,hfq_hcd_2,nb_ints,bp_fdr
297,0,297,0.02766704178145161
98,198,296,0.5514651321643602
50,241,291,0.3070434194580537
175,115,290,0.0016759765587611426
149,141,290,7.209301625088734e-6
131,159,290,4.02645760652147e-5
47,242,289,2.9350551119714834e-11
1,288,289,NaN
114,174,288,0.44866759124185646
187,100,287,5.404626956362076e-19
217,67,284,1.6104292719195237e-9
153,131,284,0.008664062122812087
66,218,284,NaN
167,116,283,0.8460613307452832
161,121,282,0.0007768787786731697
73,209,282,NaN
93,189,282,0.02482243282106989
51,231,282,0.8824229336212897
168,113,281,0.014063885445509232
66,214,280,1.8789013535624836e-16
63,217,280,0.004645304818771308
39,239,278,0.022716945911235614
85,193,278,1.1854466754017537e-5
144,133,277,0.8460613307452832
133,144,277,0.35918334633262433
102,175,277,0.21780701902471042
47,230,277,8.548423375091364e-11
134,142,276,0.0007341562128730438
149,126,275,3.112807736446545e-5
275,0,275,0.0778781774114049
38,236,274,1.582162917535085e-6
199,74,273,NaN
150,123,273,2.3336478634229154e-7
45,228,273,0.9963401800767422
57,214,271,0.17953084396000635
0,271,271,0.6291723264168632
151,118,269,0.1824860452828969
43,225,268,0.00035278406806214503
40,226,266,0.9979271538572287
149,116,265,0.6711868417913297
2,263,265,0.8824229336212897
130,133,263,0.024432172759579523
40,223,263,0.0981462602611937
245,17,262,3.5472033998462054e-20
41,221,262,0.0003347601116401343
114,147,261,4.878640475386026e-7
188,72,260,0.6711868417913297
258,2,260,0.912484067245082
139,120,259,3.511734968509123e-5
22,237,259,0.005188374343169942
46,212,258,0.49760645166926687
35,223,258,0.15832241812022618
232,25,257,0.002482053770852529
89,168,257,0.7479065933697098
181,75,256,0.8481477512931921
150,105,255,6.579128888410142e-14
53,202,255,0.027564002138835392
81,173,254,0.01382918874587925
96,157,253,0.31684092643810635
81,171,252,0.010196551487692126
105,147,252,0.0035191495711715936
81,170,251,0.14701094102636791
73,178,251,3.2979507610212195e-6
51,200,251,0.8014889144615878
20,230,250,1.7722251369165536e-11
37,213,250,2.2554382468053272e-9
22,227,249,0.9703220335374653
91,158,249,1.110463691767243e-5
147,100,247,0.9564517636473293
133,114,247,0.879520107317563
132,115,247,6.746794275498454e-6
246,0,246,NaN
106,140,246,0.15935985906752242
111,134,245,2.2965231320647555e-11
130,114,244,0.05369429994539129
35,207,242,0.08918649756385427
