hfq_lcd_1,hfq_lcd_2,nb_ints,bp_fdr
1552,489,2041,0.005480441642307018
1424,600,2024,2.068473222189492e-30
1564,435,1999,0.5757595332036677
1707,279,1986,1.9825537945469397e-5
1440,521,1961,0.00011147085790388017
1291,662,1953,0.008462745292142922
1390,563,1953,4.4954827846554316e-10
1417,526,1943,3.218904474227422e-5
1245,680,1925,8.557779253726244e-10
1515,357,1872,0.7065180306540954
1094,737,1831,0.6185582093370283
1155,626,1781,0.8516904231245461
1246,513,1759,0.6732455083220714
1248,494,1742,0.0047892366798623805
1061,668,1729,2.8918294458090582e-12
645,1082,1727,NaN
1153,574,1727,0.37472040723367966
575,1148,1723,0.390088581715401
1273,440,1713,0.0002911551349851229
1195,511,1706,0.057534145164647395
1083,622,1705,0.129436278659543
1196,481,1677,0.03209854883116802
1205,472,1677,2.8233790253446786e-14
1283,383,1666,0.531729986764269
548,1114,1662,0.4866972569803652
1135,525,1660,4.545087755663576e-14
909,751,1660,0.001087682627941217
1166,490,1656,0.0007042756210161097
1181,457,1638,3.752594057876837e-9
1202,426,1628,0.12254513691028474
1171,456,1627,1.7493474959322242e-16
1218,405,1623,0.0023096867020318936
1389,230,1619,1.9930418034448806e-10
1050,504,1554,0.0004241930061431804
1141,398,1539,0.5355925281943803
1076,461,1537,3.3637829735935784e-10
965,543,1508,1.0994220870262136e-29
1025,453,1478,2.146060973197508e-12
462,1004,1466,0.9030729057150237
412,1046,1458,0.893076864532752
1058,392,1450,5.3835074455783324e-5
1051,398,1449,0.10077498562990914
975,472,1447,7.010941957181776e-8
1018,428,1446,8.12544239726175e-5
1010,435,1445,0.005150642340918074
984,459,1443,0.1906469462743441
1030,397,1427,0.0013713672145061226
478,941,1419,0.2559719639782961
872,541,1413,0.2736599385245901
490,923,1413,NaN
430,976,1406,0.8395040133151549
967,439,1406,0.7641629005282548
1145,255,1400,1.1334953956199371e-10
402,986,1388,0.9103641365260645
1009,364,1373,0.13319546600970475
1054,317,1371,5.55954596379856e-56
968,398,1366,2.306367584845925e-6
964,398,1362,7.800566283030835e-14
871,491,1362,6.091388930780358e-9
479,876,1355,NaN
1006,348,1354,0.3887183896468073
719,628,1347,0.4567030950633912
940,402,1342,0.980101638801523
897,443,1340,0.20936945520216732
672,667,1339,0.531729986764269
915,419,1334,1.1744443937025144e-12
985,336,1321,0.001689245529663934
997,317,1314,0.3425064970841452
663,651,1314,0.6990667746156102
695,619,1314,0.6990667746156102
848,461,1309,1.325435554884881e-22
725,582,1307,0.21574102516415541
995,302,1297,0.009046530002768505
977,319,1296,0.008536365798944486
840,455,1295,0.0028619067038631882
490,804,1294,NaN
668,624,1292,0.6990667746156102
843,447,1290,0.8185843942460208
848,431,1279,0.00021657945492426688
966,312,1278,0.0020372602508336676
438,835,1273,0.2579042808851361
1015,256,1271,1.2514167841503355e-11
877,387,1264,2.6090120883552713e-15
899,364,1263,0.05200896871349018
859,403,1262,0.4243240720356392
636,622,1258,0.43614794933242046
962,296,1258,2.9999013970786836e-10
981,268,1249,0.0002952030161784532
516,722,1238,0.11835585687382275
985,251,1236,0.6795944999494773
714,519,1233,0.008291775478267465
